date,close,volume,open,high,low
2017/09/27,239.8200,2157364.0000,240.0200,240.7500,237.3610
2017/09/26,236.1900,2392162.0000,236.2900,240.0000,234.9900
2017/09/25,234.4900,3485751.0000,239.8700,239.9000,230.5800
2017/09/22,240.5700,1921756.0000,237.8200,242.7000,237.1900
2017/09/21,238.9200,2006433.0000,239.2100,239.6900,235.3500
2017/09/20,237.9600,2007673.0000,238.5000,240.4000,235.5100
2017/09/19,237.8500,2329093.0000,239.0300,240.1250,235.7000
2017/09/18,239.0700,2908072.0000,236.7900,240.4300,235.5800
2017/09/15,235.2100,5226688.0000,237.8700,239.1600,235.2100
2017/09/14,237.3300,2511505.0000,235.0000,238.4600,234.8000
2017/09/13,236.4100,2765238.0000,237.5700,239.0000,235.4500
2017/09/12,237.6000,2411724.0000,234.9500,237.9300,233.8400
2017/09/11,233.5000,2244216.0000,232.3900,234.6200,232.2100
2017/09/08,229.2300,1831483.0000,232.7800,235.0000,228.7300
2017/09/07,233.1800,2470671.0000,226.0000,233.5400,225.7100
2017/09/06,226.9700,1999620.0000,226.0000,228.9600,223.5400
2017/09/05,225.3000,3159336.0000,231.2900,232.4700,224.5800
2017/09/01,232.6400,2657661.0000,228.2600,233.7900,226.6100
2017/08/31,228.0500,2416136.0000,224.0000,228.6800,222.6100
2017/08/30,223.8800,1864379.0000,221.8000,224.7100,220.3600
2017/08/29,220.6900,2033130.0000,216.0000,221.7000,213.5280
2017/08/28,219.9900,2993248.0000,225.9200,226.7900,219.3600
2017/08/25,225.5500,2441392.0000,224.9600,229.4300,224.4400
2017/08/24,224.8600,2151331.0000,226.1200,226.7499,224.1100
2017/08/23,224.9900,1835460.0000,224.8500,225.7100,223.6300
2017/08/22,226.1100,2462140.0000,224.4900,226.4900,222.7750
2017/08/21,222.4800,2731132.0000,223.5000,227.9492,221.8800
2017/08/18,220.6900,3053687.0000,220.7700,221.1900,218.5000
2017/08/17,221.0500,2653054.0000,226.4200,227.0193,220.3600
2017/08/16,226.1400,2214086.0000,228.0000,228.9800,225.7100
2017/08/15,225.3300,2140210.0000,226.1000,227.6600,223.5700
2017/08/14,223.6900,2446865.0000,223.5100,224.7700,221.0000
2017/08/11,223.4900,3327837.0000,218.6000,224.6600,216.2000
2017/08/10,222.5700,4166496.0000,227.5000,228.9900,220.4700
2017/08/09,230.3000,2513738.0000,227.1900,230.4900,225.3600
2017/08/08,229.4500,4021194.0000,226.6000,233.3700,226.5400
2017/08/07,227.1600,2997829.0000,225.6000,228.9900,224.7700
2017/08/04,226.0500,3520324.0000,227.2800,230.3400,225.7000
2017/08/03,227.3900,3433077.0000,221.0000,227.9699,220.5510
2017/08/02,221.9600,3688166.0000,224.1200,224.6400,218.5800
2017/08/01,225.6000,4340497.0000,227.1400,227.9800,222.1700
2017/07/31,226.3500,8559579.0000,223.5900,230.0000,223.0500
2017/07/28,220.0000,12587490.0000,211.0100,225.6000,208.8000
2017/07/27,201.0000,5157824.0000,204.0100,205.6000,197.1100
2017/07/26,201.1700,3487979.0000,196.8500,201.2300,196.7500
2017/07/25,197.0500,2924618.0000,198.5000,198.6500,195.9700
2017/07/24,198.6500,3926531.0000,193.9750,199.2500,193.0200
2017/07/21,193.1800,1850685.0000,190.9600,193.2000,190.5600
2017/07/20,191.3200,1570531.0000,192.2600,192.8600,190.7900
2017/07/19,190.9100,2123333.0000,190.8000,192.3500,189.5600
2017/07/18,189.5100,1779135.0000,187.2300,190.1000,186.6900
2017/07/17,188.2300,2797457.0000,189.1200,191.7790,186.8900
2017/07/14,188.5500,1665294.0000,187.9900,189.0000,187.5250
2017/07/13,186.9200,2225214.0000,187.4700,188.9800,186.1500
2017/07/12,186.7600,1894666.0000,185.8100,187.5600,185.2600
2017/07/11,184.4100,1539008.0000,183.2000,184.5600,181.8300
2017/07/10,182.9300,1467341.0000,182.3100,183.9400,181.5900
2017/07/07,181.4000,1444651.0000,181.7900,182.7800,179.9200
2017/07/06,181.7900,2414594.0000,183.8800,183.8900,180.6780
2017/07/05,183.8300,4442764.0000,186.3700,187.2500,182.1700
2017/07/03,179.9700,1917192.0000,179.9000,183.5000,179.6300
2017/06/30,178.8600,2083678.0000,180.4400,180.8800,178.3101
2017/06/29,179.6300,3124343.0000,177.5400,180.4550,177.2200
2017/06/28,178.0000,2632067.0000,177.0000,178.7200,175.8300
2017/06/27,175.6000,2523216.0000,178.5200,178.6500,175.1000
2017/06/26,178.4600,2061894.0000,180.5900,181.7400,178.3500
2017/06/23,178.1400,1765066.0000,180.3200,180.5500,177.6100
2017/06/22,179.3300,1748808.0000,179.2500,180.7140,177.9900
2017/06/21,180.1700,2073868.0000,179.1400,181.0000,177.9300
2017/06/20,177.8500,1762543.0000,177.6900,178.4200,176.9300
2017/06/19,176.9300,2502649.0000,176.3800,179.2300,175.8001
2017/06/16,173.8800,2491598.0000,176.4100,176.4100,173.6600
2017/06/15,176.3300,2715667.0000,176.1900,176.9900,173.5200
2017/06/14,178.2000,2139446.0000,180.6000,180.8200,176.2000
2017/06/13,179.1900,2571077.0000,181.5200,181.5200,177.2400
2017/06/12,180.0600,3052884.0000,180.0000,182.1500,177.3100
2017/06/09,181.0700,4081656.0000,186.0300,186.1000,178.2100
2017/06/08,185.7500,4893192.0000,191.6000,192.3800,183.6800
2017/06/07,187.5300,2391105.0000,186.2400,188.5850,184.7500
2017/06/06,185.7500,2078041.0000,186.7300,187.2000,184.5100
2017/06/05,187.3100,1421347.0000,188.7100,188.7100,185.2100
2017/06/02,187.6000,1190615.0000,188.6000,189.2500,187.0000
2017/06/01,187.2600,2064824.0000,186.1500,188.1000,185.5900
